名称,住所,営業日,電話番号
浅草 やきとり道場 東武浅草駅前,〒111-0032 東京都台東区浅草1-1-16 HK浅草ビル2F,月～日 13:00～24:00,050-3469-2706
浅草 どん 本店,〒111-0032 東京都台東区浅草2-19-3,"月・火・木～土・祝前日・祝日 17:30～23:00
日 17:00～22:30",050-3466-9038
浅草聚楽,〒111-0032 東京都台東区浅草1-23-9,月～日 11:00～21:00(L.O.20:30)(当面の間営業時間は（全日）11時30分～20時となっております。),050-3462-9574
浅草サンボア,〒111-0032 東京都台東区浅草1-16-8, 14:00～23:00,050-3490-8828
鳥元 浅草店,〒111-0032 東京都台東区浅草1-9-8 浅草寿司清ビル1F,"月～金 ディナー：15:00～23:30(L.O.22:30、ドリンクL.O.22:45)
土・日・祝 ランチ：11:30～16:00
土・日・祝日 ディナー：16:00～23:30(L.O.22:30、ドリンクL.O.22:45)",050-3477-9489
浅草珈琲屋 ハロー,〒111-0032 東京都台東区浅草1-2-11,月～金 7:45～18:00(■お問い合わせ■  12：00～18：00),050-3461-6809
浅草 茶寮一松,〒111-0034 東京都台東区雷門1-15-1,火～日 11:45～22:00(L.O.19:00),050-3476-8313
浅草六区酒場 ホッピー通り店,〒111-0032 東京都台東区浅草1-39-7,"月～金 15:00～23:00(L.O.22:30)
土 11:00～23:00(L.O.22:30)
日 11:00～22:30(L.O.22:00)(※月曜日が祝日の場合は、日曜日23:00・月曜日22:30に閉店となります)",050-3460-7681
平城苑本館 浅草雷門店,〒111-0034 東京都台東区雷門1-15-10,月～日 11:00～22:30(L.O.22:00、ドリンクL.O.22:00)(【時短営業のお知らせ】新型コロナウイルス感染予防の東京都を始めとする各都府県からの協力要請を受け、表記の時間にて短縮営業中です。),050-3477-9350
浅草 イタリアン居酒屋 Tino ～ティノ～,〒111-0035 東京都台東区西浅草3-1-10 千代軒ビル1F,"月 ディナー：17:00～23:30(※都合により営業時間を変更する場合がございます。)
火～日 ディナー：17:00～翌5:00(◎11/28（土）～12/17（木）まで営業時間短縮要請により月～金曜日15時～22時まで、土日12時～22時までのとさせて頂きます。  ※都合により営業時間を変更する場合がございます。)",050-3463-9062
浅草 お好み焼き 一丁目,〒111-0032 東京都台東区浅草1-21-2 富永ビル1F,"火～木 ランチ：12:00～15:00
火～金 ディナー：17:00～22:00
土・日・祝日 12:00～21:00(※予約不可)",050-3477-7060
メヒコ 浅草店,〒111-0032 東京都台東区浅草1-39-5 澤田屋ビル1F,"月～金 ランチ：11:00～15:00(L.O.14:30)、ディナー：17:00～23:00(L.O.22:30)(2020/11/28-2020/12/17 の期間  東京都の営業時間短縮要請を踏まえ、PM10:00閉店と変更いたします。)
土 11:00～23:00(L.O.22:30)(2020/11/28-2020/12/17 の期間  東京都の営業時間短縮要請を踏まえ、PM10:00閉店と変更いたします。)
日・祝日 11:00～21:00(L.O.20:30)(連休の場合、最終日のみ日、祝日営業)",050-3314-2487
北の市場 浅草店,〒111-0032 東京都台東区浅草1-42-4,"月～金 16:30～23:30
土 11:30～23:30
日・祝日 11:30～23:00(ラストオーダーは30分前となります)",050-3373-8772
個室 海鮮居酒屋 はなの舞 浅草雷門店,〒111-0034 東京都台東区雷門2-18-7 井門雷門ビル4F,"月～木 ディナー：16:00～23:00(※行政指導、入店状況により営業時間が変更になる場合がございます。  ※お昼の各種宴会など時間外営業もお気軽にご相談ください。)
金・土・祝前日 ディナー：16:00～24:00(※行政指導、入店状況により営業時間が変更になる場合がございます。  ※お昼の各種宴会など時間外営業もお気軽にご相談ください。)
日・祝日 ディナー：15:00～23:00(※行政指導、入店状況により営業時間が変更になる場合がございます。  ※お昼の各種宴会など時間外営業もお気軽にご相談ください。)",050-3464-0650
牛もつ鍋 よし藤 浅草店,〒111-0032 東京都台東区浅草2-27-5, 17:00～22:00(L.O.21:00)(日曜営業),050-3461-4570
ポンチ軒 浅草雷門店,〒111-0034 東京都台東区雷門2-13-1 MUSTARD HOTEL ASAKUSA1,"月・火・木～日 ランチ：11:30～14:30(L.O.14:00)
月・火・金～日 ディナー：17:30～20:30(L.O.20:00)(6/7(日曜日)より下記の営業となります。  [ランチ]      11:30～14:00(L.O)       [ディナー］17:30～20:00(L.O)     [定休日]水、木曜日)",050-3468-0983
北海道の恵み つぼ八 浅草駅ビル店,〒111-0033 東京都台東区花川戸1-2-3 浅草駅ビル2～3F, 11:30～23:30(L.O.22:30、ドリンクL.O.23:00)(【営業時間短縮のお知らせ】  東京都短縮営業要請に伴い、11月28日〜12月17日の期間は22時閉店とさせて頂きます。（フードラスト21時 ドリンクラスト21時30分）),050-3463-7321
先斗 浅草,〒111-0035 東京都台東区西浅草2-10-2 小川ビル1F,"月～土 ランチ：11:30～13:30
月～土 ディナー：17:00～23:00(L.O.22:30)",03-5828-1531
浅草酒場 岡本 ホッピー通り店,〒111-0032 東京都台東区浅草1-40-7,"月～水・金・土 11:00～23:00(L.O.22:30)
木 17:00～23:00(L.O.22:30)
日 11:00～22:30(L.O.22:00)(※月曜日が祝日の場合は、日曜日23:00・月曜日22:30に閉店となります)",050-3476-8089
すしざんまい浅草雷門店,〒111-0032 東京都台東区浅草1-3-6,"月～木 11:00～23:00
金 11:00～24:00
土 10:00～24:00
日・祝日 10:00～23:00",050-3466-9849
まぐろ家 浅草店,〒111-0032 東京都台東区浅草2-13-7,月・火・木～日 12:00～23:00(L.O.22:15)(▼東京都の営業時間短縮要請に伴い、11月28日(土)～12月17日(木)の間の営業時間を下記に変更いたします。  [全日]12:00～22:00(L.O.21:15)),050-3463-9801
